Institution_Sector_at_Entry,Age_at_Entry,Starting_Enrollment_Intensity,Metric,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
All Sectors,Age 25 or Older,Full-Time,Retention Rate,0.6227270660969179,0.5705739041593807,0.5922307541817471,0.5929298751200769,0.5997701022075728,0.5639170663940657,0.5453482522806684,0.5313297946424427,0.5065462687009771,0.5265842325912249
All Sectors,Age 25 or Older,Full-Time,Retention Rate,175984.0,101794.0,81784.0,78075.0,72206.0,76302.0,73553.0,64619.0,67443.0,66073.0
All Sectors,Age 25 or Older,Part-Time,Retention Rate,0.4006196265290556,0.4223519094810526,0.4380877396296853,0.4269212758208023,0.4479887771288154,0.4428797987531445,0.4200495357221409,0.426504291008387,0.4107102312657448,0.420022548901562
All Sectors,Age 25 or Older,Part-Time,Retention Rate,0.4337526955637377,0.452912918972194,0.4684666354090181,0.4556515254002116,0.4775313350998963,0.4698220861132378,0.4431438926662268,0.453164618685391,0.435999178298429,0.4462821677594492
All Sectors,Age 25 or Older,Part-Time,Retention Rate,212386.0,128857.0,113039.0,115314.0,109063.0,109716.0,104571.0,82032.0,92491.0,91357.0
All Sectors,Age 25 or Older,Non-Credential,Retention Rate,,,0.2872027360216336,0.3091326921440122,0.3071546451800796,0.2866652578191039,0.257720721811796,0.2481286829112916,0.2881451009723261,0.3058552980718202
All Sectors,Age 25 or Older,Non-Credential,Retention Rate,,,0.3296746997534399,0.3481998467954719,0.3476361518299194,0.3165680473372781,0.2791570788421945,0.2755215798694059,0.3160059835452505,0.3366354148239873
All Sectors,Age 25 or Older,Non-Credential,Retention Rate,,,12573.0,11749.0,10301.0,9464.0,8257.0,6279.0,5348.0,5653.0
All Sectors,Age 25 or Older,Program Unknown,Retention Rate,,,0.2491452616814236,0.2432522864153468,0.2508380313880847,0.2445965278583304,0.2071032688609885,0.233286582515194,0.2514506769825919,0.2578158255687461
All Sectors,Age 25 or Older,Program Unknown,Retention Rate,,,0.2798866193273136,0.2761171834337125,0.2805500533292701,0.2718942118083749,0.2281416129397127,0.2618045815801776,0.2761252548486591,0.2801872960317835
All Sectors,Age 25 or Older,Program Unknown,Retention Rate,,,34221.0,26898.0,26252.0,25863.0,26523.0,17112.0,19129.0,21143.0
All Sectors,Age Missing,Total,Retention Rate,0.1746870109546165,0.1620183095592931,0.1115089514066496,0.1129978388391478,0.0936931473620376,0.0802956920723935,0.0903903903903903,0.0667709963484611,0.05625,0.0459130434782608
All Sectors,Age Missing,Total,Retention Rate,0.1746870109546165,0.1620183095592931,0.1120204603580562,0.1133065761037357,0.0942995755003032,0.0805505990313535,0.0915915915915916,0.0667709963484611,0.05625,0.0466086956521739
All Sectors,Age Missing,Total,Retention Rate,5112.0,4697.0,3910.0,3239.0,3298.0,3923.0,3330.0,5751.0,2720.0,2875.0
All Sectors,Age Missing,Full-Time,Retention Rate,0.4854771784232365,0.4606365159128978,0.4566929133858268,0.3138461538461538,0.2412451361867704,0.5146198830409356,0.5258620689655172,0.5227272727272727,0.2837837837837837,0.2741935483870967
